home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
Nottingham Forest,West Ham United,early kick-off,2,14 August 2022,14:00 BST,City Ground,1–0,1,0,1,Robert Jones,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Everton,West Ham United,early kick-off,7,18 September 2022,14:15 BST,Goodison Park,1–0,1,0,1,Michael Oliver,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Southampton,West Ham United,early kick-off,10,16 October 2022,14:00 BST,St Mary's Stadium,1–1,2,1,1,Peter Bankes,0,1,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
West Ham United,Bournemouth,late kick-off,12,24 October 2022,20:00 BST,London Stadium,2–0,2,0,2,David Coote,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
Manchester United,West Ham United,standard kick-off,13,30 October 2022,16:15 GMT,Old Trafford,1–0,1,0,1,Chris Kavanagh,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
West Ham United,Leicester City,standard kick-off,15,12 November 2022,15:00 GMT,London Stadium,0–2,2,2,0,Jarred Gillett,1,0,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
West Ham United,Brentford,late kick-off,17,30 December 2022,19:45 GMT,London Stadium,0–2,2,2,0,Darren England,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Leeds United,West Ham United,late kick-off,18,4 January 2023,19:45 GMT,Elland Road,2–2,4,2,2,David Coote,0,1,1,1,1,0,0,0,2,2,0,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2
West Ham United,Everton,standard kick-off,20,21 January 2023,15:00 GMT,London Stadium,2–0,2,0,2,Stuart Attwell,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
West Ham United,Nottingham Forest,standard kick-off,24,25 February 2023,15:00 GMT,London Stadium,4–0,4,0,4,Jarred Gillett,0,0,0,0,2,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0
